Hook Sea Bar,1210 Denman Street,Vancouver,20210214
Gracie Barra Vancouver,53 E Broadway,Vancouver,20210211
Cactus Club Cafe,357 Davie Street,Vancouver,20210201
Amsterdam Café Pub,4232 Village Stroll,Whistler,20210125
Boulevard Kitchen & Oyster Bar,845 Burrard Street,Vancouver,20210123
Buffalo Bill’s Bar & Grill,4122 Village Green,Whistler,20210127
Black’s Pub,7-4340 Sundial Place,Whistler,20210127
Dubh Linn Gate Irish Pub,170-4320 Sundial Crescent,Whistler,20210127
The Longhorn Saloon,4280 Mountain Square,Whistler,20210125
Rumble Boxing,968 Expo Boulevard,Vancouver,20210118
Hy's Steakhouse & Cocktail Bar,4308 Main Street,Whistler,20210116
Hail Mary's,670 East Broadway,Vancouver,20210116
Nook,1525 Yew Street,Vancouver,20201231
Denny’s,622 South West Marine Drive,Vancouver,20210105
Park Drive Restaurant,1815 Commercial Drive,Vancouver,20201231
Pioneers Pub,10111 No. 3 Road,Richmond,20201209
The Morrissey,1227 Granville St.,Vancouver,20201113
Earls Kitchen + Bar,4295 Blackcomb Way Unit 220/221,Whistler,20201106
The Longhorn Saloon,4280 Mountain Sq.,Whistler,20201105
Buffalo Bill’s Bar & Grill,4122 Village Green,Whistler,20201031
Park Drive,1815 Commercial Dr.,Vancouver,20200926
Abruzzo Cappuccino Bar,1321 Commercial Dr.,Vancouver,20200926
Wreck Beach,S.W. Marine Dr.,Vancouver,20200907
The King’s Head Public House,1618 Yew St.,Vancouver,20200907
Athens Cultural Club,114 W. Broadway,Vancouver,20200908
The West Pub,488 Carrall St.,Vancouver,20200908
Flying Beaver Bar and Grill,4760 Inglis Dr.,Richmond,20200903
You Plus One electronic music event,Granville Street and Helmcken Street area,downtown Vancouver,20200829
The Compound/ Heaven,1026 Granville St.,Vancouver,20200829
Studio Lounge and Nightclub,919 Granville St.,Vancouver,20200828
Cabana Lounge,1159 Granville St.,Vancouver,20200828
Lions MMA,1256 Granville St.,Vancouver,20200828
Banter Room,1039 Mainland St.,Vancouver,20200828
El Furniture Warehouse Granville,989 Granville St.,Vancouver,20200826
Privé Kitchen and Bar,1001 W. Broadway,Vancouver,20200817
Wreck Beach,Southwest Marine Dr.,Vancouver,20200815
Bartholomew Bar,1026 Mainland St.,Vancouver,20200814
Hawksworth Restaurant,801 W. Georgia St.,Vancouver,20200813
IVY Lounge,3rd Floor - 1161 W. Georgia St.,Vancouver,20200809
Levels Nightclub,560 Seymour St.,Vancouver,20200808
Pierre's Champagne Lounge,1028 Hamilton St.,Vancouver,20200808
West Oak Restaurant,1035 Mainland St.,Vancouver,20200808
Foot Locker,919 Robson St.,Vancouver,20200805
PumpJack Pub,1167 Davie St.,Vancouver,20200802
Lions Bay Beach Park,60 Lions Bay Ave.,Lions Bay,20200709
Sandman Suites - Davie Street,1160 Davie St.,Vancouver,20200717
No5 Orange,205 Main St.,Vancouver,20200707
Hotel Belmont bar and nightclub,654 Nelson St.,Vancouver,20200629
Brandi’s Exotic Show Lounge,5th Floor 595 Hornby St.,Vancouver,20200624

West Coast Basketball and Performance Centre,Unit #19 5684 Landmark Way,Surrey,20210206
St James's Well Pub,248 Newport Drive,Port Moody,20210202
Rustom Wrestling Club,104- 13423 78 Ave,Surrey,20210128
The Restored House Chapel,Unit 107-11267 125A St.,Surrey,20210120
Hookah Lounge,10609 King George Hwy,Surrey,20200809
Royal Jerk Spot Weekend Summer Fest Day and Night Rave Endorsed by Royal Beauty,13553 105a Ave,Surrey,20200802
The Taphouse Coquitlam,405 North Road #2,Coquitlam,20200802
Charlie Hamiltons Pub,1031-1163 Pinetree Way (Facing, Lincoln Ave),Coquitlam,20200804
Hope River General Store,28605 Trans-Canada Hwy,Hope,20200814
Willowbrook Used Ltd.,19561 Langley Bypass,Surrey,20201008
Willowbrook Motors Ltd.,19611 Langley Bypass,Langley,20201008
Dicks Lumber,12433 80 Avenue,Surrey,20201009
Wedding events at Lake Errock and Saint St. Grill in Port Moody,"Lake Errock Saint St. Grill 2514 St Johns St, Port Moody",Lake Errock and Port Moody,20201010
Jolly Coachman Pub,19167 Ford Rd,Pitt Meadows,20201012
Hanaya Japanese Restaurant,#106 2828 152 St.,Surrey,20201019
Atrack Restaurant,3180 St Johns St.,Port Moody,20201020
Bow & Stern,2551 Montrose Ave.,Abbotsford,20201026
Baselines Pub,8233 166 St.,Surrey,20201026
Willowbrook Dealership,19611 Langley Bypass,Langley,20201026
Bow & Stern,2551 Montrose Ave.,Abbotsford,20201101
Gurdwara Baba Banda Singh Bahadar Sikh Society,31631 S Fraser Way,Abbotsford,20201106
Slumber Lodge Motel,250 Fort St.,Hope,20201109
Platinum Athletic Club,7635 King George Blvd.,Surrey,20201107
Gritt Athletics,20445 62 Ave.,Langley,20201112
Haven Nails and Spa,6544 Hastings Street,Burnaby,20201117
Ebus Travel,EBUS #5725,Abbotsford - Kelowna,20201220
