West Coast Basketball and Performance Centre,Unit #19 5684 Landmark Way,Surrey,20210206
"St James's Well Pub, Trivia Night",248 Newport Drive,Port Moody,20210202
Rustom Wrestling Club,104- 13423 78 Ave,Surrey,20210128
The Restored House Chapel,Unit 107-11267 125A St.,Surrey,20210120
Hookah Lounge,10609 King George Hwy,Surrey,20200809
Royal Jerk Spot Weekend Summer Fest Day and Night Rave Endorsed by Royal Beauty,13553 105a Ave,Surrey,20200802
The Taphouse Coquitlam,405 North Road #2,Coquitlam,20200802
Charlie Hamiltons Pub,"1031-1163 Pinetree Way (Facing, Lincoln Ave)",Coquitlam,20200804
Hope River General Store,28605 Trans-Canada Hwy,Hope,20200814
Willowbrook Used Ltd.,19561 Langley Bypass,Surrey,20201008
Willowbrook Motors Ltd.,19611 Langley Bypass,Langley,20201008
Dicks Lumber,12433 80 Avenue,Surrey,20201009
Wedding events at Lake Errock and Saint St. Grill in Port Moody,"Lake Errock Saint St. Grill 2514 St Johns St, Port Moody",Lake Errock and Port Moody,20201010
Jolly Coachman Pub,19167 Ford Rd,Pitt Meadows,20201012
Hanaya Japanese Restaurant,#106 2828 152 St.,Surrey,20201019
Atrack Restaurant,3180 St Johns St.,Port Moody,20201020
Bow & Stern,2551 Montrose Ave.,Abbotsford,20201026
Baselines Pub,8233 166 St.,Surrey,20201026
"Willowbrook Chrysler, Jeep, Dodge RAM Dealership",19611 Langley Bypass,Langley,20201026
Bow & Stern,2551 Montrose Ave.,Abbotsford,20201101
Gurdwara Baba Banda Singh Bahadar Sikh Society,31631 S Fraser Way,Abbotsford,20201106
Slumber Lodge Motel,250 Fort St.,Hope,20201109
Platinum Athletic Club,7635 King George Blvd.,Surrey,20201107
Gritt Athletics,20445 62 Ave.,Langley,20201112
Haven Nails and Spa,6544 Hastings Street,Burnaby,20201117
Ebus Travel,EBUS #5725,Abbotsford - Kelowna,20201220
