Hook Sea Bar,1210 Denman Street,Vancouver,20210214,
Gracie Barra Vancouver,53 E Broadway,Vancouver,20210211,
Cactus Club Cafe,357 Davie Street,Vancouver,20210201,
Amsterdam Café Pub,4232 Village Stroll,Whistler,20210125,
Boulevard Kitchen & Oyster Bar,845 Burrard Street,Vancouver,20210123,
Buffalo Bill’s Bar & Grill,4122 Village Green,Whistler,20210127,
Black’s Pub,7-4340 Sundial Place,Whistler,20210127,
Dubh Linn Gate Irish Pub,170-4320 Sundial Crescent,Whistler,20210127,
The Longhorn Saloon,4280 Mountain Square,Whistler,20210125,
Rumble Boxing,968 Expo Boulevard,Vancouver,20210118,
Hy's Steakhouse & Cocktail Bar,4308 Main Street,Whistler,20210116,
Hail Mary's,670 East Broadway,Vancouver,20210116,
Nook,1525 Yew Street,Vancouver,20201231,
Denny’s,622 South West Marine Drive,Vancouver,20210105,
Park Drive Restaurant,1815 Commercial Drive,Vancouver,20201231,
Pioneers Pub,10111 No. 3 Road,Richmond,20201209,
The Morrissey,1227 Granville St.,Vancouver,20201113,
Earls Kitchen + Bar,4295 Blackcomb Way Unit 220/221,Whistler,20201106,
The Longhorn Saloon,4280 Mountain Sq.,Whistler,20201105,
Buffalo Bill’s Bar & Grill,4122 Village Green,Whistler,20201031,
Park Drive,1815 Commercial Dr.,Vancouver,20200926,
Abruzzo Cappuccino Bar,1321 Commercial Dr.,Vancouver,20200926,
Wreck Beach,S.W. Marine Dr.,Vancouver,20200907,
The King’s Head Public House,1618 Yew St.,Vancouver,20200907,
Athens Cultural Club,114 W. Broadway,Vancouver,20200908,
The West Pub,488 Carrall St.,Vancouver,20200908,
Flying Beaver Bar and Grill,4760 Inglis Dr.,Richmond,20200903,
You Plus One electronic music event,Granville Street and Helmcken Street area,downtown Vancouver,20200829,
The Compound/ Heaven,1026 Granville St.,Vancouver,20200829,
Studio Lounge and Nightclub,919 Granville St.,Vancouver,20200828,
Cabana Lounge,1159 Granville St.,Vancouver,20200828,
Lions MMA,1256 Granville St.,Vancouver,20200828,
Banter Room,1039 Mainland St.,Vancouver,20200828,
El Furniture Warehouse Granville,989 Granville St.,Vancouver,20200826,
Privé Kitchen and Bar,1001 W. Broadway,Vancouver,20200817,
Wreck Beach,Southwest Marine Dr.,Vancouver,20200815,
Bartholomew Bar,1026 Mainland St.,Vancouver,20200814,
Hawksworth Restaurant,801 W. Georgia St.,Vancouver,20200813,
IVY Lounge,3rd Floor - 1161 W. Georgia St.,Vancouver,20200809,
Levels Nightclub,560 Seymour St.,Vancouver,20200808,
Pierre's Champagne Lounge,1028 Hamilton St.,Vancouver,20200808,
West Oak Restaurant,1035 Mainland St.,Vancouver,20200808,
Foot Locker,919 Robson St.,Vancouver,20200805,
PumpJack Pub,1167 Davie St.,Vancouver,20200802,
Lions Bay Beach Park,60 Lions Bay Ave.,Lions Bay,20200709
Sandman Suites - Davie Street,1160 Davie St.,Vancouver, 20200717
No5 Orange,205 Main St.,Vancouver,20200707
Hotel Belmont bar and nightclub,654 Nelson St.,Vancouver,20200629
Brandi’s Exotic Show Lounge,5th Floor 595 Hornby St.,Vancouver,20200624
